id_interaccion,id_medicamento_1,id_medicamento_2,gravedad,descripcion
1,1,3,grave,Sinergia antiagregante y anticoagulante: riesgo crítico de hemorragia gastrointestinal y cerebral severa.
2,1,9,grave,Aumento severo del riesgo de sangrado digestivo y desplazamiento de unión a proteínas de warfarina.
3,1,10,grave,Riesgo extremo de úlcera péptica sangrante y prolongación patológica del INR.
4,1,11,grave,Hemorragia severa por sinergia farmacodinámica y lesión de mucosa gástrica.
5,2,3,grave,Riesgo muy alto de hemorragia letal; contraindicación salvo protocolo estricto de doble terapia coronaria monitorizada.
6,2,9,grave,Incompatibilidad absoluta en atención primaria: riesgo hemorrágico digestivo grave.
7,2,10,grave,Potenciación extrema del efecto anticoagulante con alto riesgo de sangrado digestivo alto.
8,5,9,grave,Riesgo elevado de sangrado mayor gastrointestinal sin reversor inmediato accesible.
9,5,12,grave,Contraindicación absoluta: sangrado digestivo fulminante y lesión renal aguda.
10,3,6,grave,Riesgo elevado de hemorragia mayor intra/extracraneal.
11,4,80,grave,Omeprazol inhibe CYP2C19 reduciendo la bioactivación de clopidogrel y aumentando el riesgo de infarto recurrente.
12,4,82,grave,Inhibición enzimática de la eficacia antiagregante plaquetaria de clopidogrel.
13,19,33,grave,Riesgo crítico de hiperpotasemia severa (> 6.0 mEq/L) causante de arritmias ventriculares y parada cardíaca.
14,20,33,grave,Hiperpotasemia letal por bloqueo dual del eje renina-angiotensina-aldosterona.
15,21,33,grave,Aumento marcado del potasio sérico con toxicidad neuromuscular y cardíaca.
16,22,33,grave,Retención sinérgica de potasio en túbulo renal distal: riesgo severo de bloqueo AV y fibrilación ventricular.
17,23,33,grave,"Hiperpotasemia grave, especialmente en pacientes ancianos con insuficiencia renal basal."
18,9,19,grave,Antagonismo del efecto antihipertensivo y vasoconstricción de arteriola aferente: alto riesgo de fracaso renal agudo.
19,9,20,grave,Deterioro agudo del filtrado glomerular e hipertensión descontrolada.
20,10,21,grave,Nefrotoxicidad hemodinámica severa; retención hidrosalina aguda.
21,9,35,moderada,"Los AINEs inhiben las prostaglandinas renales, atenuando intensamente el efecto diurético y antihipertensivo."
22,9,33,grave,Disminución de la excreción renal de potasio + nefrotoxicidad por AINE: riesgo de hiperpotasemia grave.
